Word	IPA transcription
постигнати	p o s t i ɡ n a t i
половина	p o ɫ o v i n ɐ
съюзили	s ə j u z i l i
управляват	u p r a v l a v ɐ t
солидна	s o l i d n ɐ
излезе	i z l e z e
касата	k a s a t ɐ
горнооряховското	ɡ o r n o o rʲ ɐ x o f s k o t o
предприятие	p r e t p r i j a t i e
поминък	p o m i n ə k
населението	n ɐ s e l e n i e t o
задачите	z ɐ d a t ʃ i t e
рейнджъри	r e j n d ʒ ə r i
осигуряват	o s i ɡ u rʲ a v ɐ t
пълната	p ə ɫ n a t ɐ
охрана	o x r a n ɐ
Еко	e k o
непредвидени	n e p r e d v i d e n i
ситуации	s i t u a t s i i
охраняват	o x r a ɲ a v ɐ t
подземните	p o d̪z̪ e m n i t e
газопроводи	ɡ ɐ z o p r o v o d i
обучават	o b u t ʃ a v ɐ t
батальони	b ɐ t a l o n i
развръзката	r ɐ z v r ə s k a t ɐ
естествена	e s t e s t v e n ɐ
бунището	b u n i ʃ t e t o
отговаряло	o d ɡ o v a rʲ a ɫ o
екологични	e k o ɫ o ɡ i t ʃ n i
параметри	p ɐ r a m e t r i
допустимите	d o p u s t i m i t e
безпартиен	b e s p a r t i e n
повярвайте	p o vʲ a r v a j t e
ми	m i
пристрастен	p r i s t r a s t e n
никоя	n i k o j ɐ
брак	b r a k
младоженеца	m ɫ ɐ d o ʒ e n e t s ɐ
тъща	t ə ʃ t ɐ
злословят	z ɫ o s ɫ o vʲ ɐ t
скандал	s k a n d a ɫ
гнева	ɡ n e v ɐ
гръцкото	ɡ r ə t s k o t o
намалява	n ɐ m a l a v ɐ
шансовете	ʃ ɐ n s o v e t e
мирно	m i r n o
израело-палестинския	i z r a e ɫ o p ɐ l e s t i n s k i j ɐ
оли	o l i
Рен	r e n
наказателен	n ɐ k a z a t e l e n
процесуален	p r o t s e s u a l e n
кодекс	k o d e k s
структурни	s t r u k t u r n i
досъдебната	d o s ə d e b n a t ɐ
фаза	f a z ɐ
дето	d e t o
допълва	d o p ə ɫ v ɐ
оттегли	o t̪ e ɡ l i
дойде	d o j d e
ясната	j a s n a t ɐ
препоръка	p r e p o r ə k ɐ
дадена	d a d e n ɐ
новия	n o v i j ɐ
еврокомисар	e v r o k o m i s a r
разширяването	r ɐ s ʃ i rʲ ɐ v a n e t o
Оли	o l i
посети	p o s e t i
миналата	m i n a ɫ a t ɐ
мнозина	m n o z i n ɐ
отпадналите	o t p ɐ d n a l i t e
кандидати	k ɐ n d i d a t i
представят	p r e t s t a vʲ ɐ t
Евровизия	e v r o v i z i j ɐ
предреждаха	p r e d r e ʒ d a x ɐ
хване	x v a n e
микрофона	m i k r o f o n ɐ
изкаже	i s k a ʒ e
възмущението	v ə z m u ʃ t e n i e t o
някогашната	ɲ ɐ k o ɡ a ʃ n a t ɐ
близост	b l i z o s t
народите	n ɐ r o d i t e
постсъветското	p o s t s ə v e t s k o t o
съвременните	s ə v r e m e n n i t e
невинаги	n e v i n a ɡ i
позитив	p o z i t i f
отрече	o t r e t ʃ e
седи	s e d i
протестите	p r o t e s t i t e
Стоян	s t o j ɐ n
Узунов	u z u n o f
конкурентите	k o n k u r e n t i t e
спекулират	s p e k u l i r ɐ t
рандемана	r ɐ n d e m a n ɐ
сиреч	s i r e t ʃ
фирата	f i r a t ɐ
преработката	p r e r ɐ b o t k a t ɐ
Кишинев	k i ʃ i n e f
узбекистанският	u z b e k i s t a n s k i j ɐ t
ислам	i s ɫ ɐ m
Каримов	k a r i m o f
намалят	n a m a l ɐ t
бедността	b e d n o s t̪ ɐ
болестите	b o l e s t i t e
войните	v o j n i t e
областните	o b ɫ a s t n i t e
денонощни	d e n o n o ʃ t n i
нужно	n u ʒ n o
хабят	x a bʲ ɐ t
лесно	l e s n o
групата	ɡ r u p a t ɐ
най-развитите	n a j r ɐ z v i t i t e
индустриални	i n d u s t r i a ɫ n i
Ге-осем	ɡ e o s e m
влизат	v l i z ɐ t
Съединените	s ə e d i n e n i t e
щати	ʃ t a t i
Канада	k a n a d ɐ
Франция	f r a n t s i j ɐ
италия	i t a l i j ɐ
остане	o s t a n e
прагматична	p r ɐ ɡ m a t i t ʃ n ɐ
разширява	r ɐ s ʃ i rʲ a v ɐ
Китай	k i t ɐ j
индия	i n d i j ɐ
Индия	i n d i j ɐ
Пакистан	p a k i s t ɐ n
най-вероятно	n a j v e r o j a t n o
Израел	i z r a e ɫ
бързият	b ə r z i j ɐ t
кредитирането	k r e d i t i r a n e t o
изпитание	i s p i t a n i e
информационната	i n f o r m ɐ t s i o n n a t ɐ
готовност	ɡ o t o v n o s t
следене	s l e d e n e
нарастващия	n ɐ r ɐ s t v a ʃ t i j ɐ
кредитополучатели	k r e d i t o p o ɫ u t ʃ a t e l i
банкерът	b a n k e r ə t
почне	p o t ʃ n e
съставена	s ə s t a v e n ɐ
проверката	p r o v e r k a t ɐ
районният	r ɐ j o n n i j ɐ t
столицата	s t o l i t s a t ɐ
Славчо	s ɫ a f t ʃ o
Кържев	k ə r ʒ e f
серията	s e r i j a t ɐ
цветни	t s v e t n i
революции	r e v o l u t s i i
републики	r e p u b l i k i
загриженост	z ɐ ɡ r i ʒ e n o s t
демокрацията	d e m o k r a t s i ɐ t ɐ
безкористна	b e s k o r i s t n ɐ
най-обиден	n a j o b i d e n
грузинският	ɡ r u z i n s k i j ɐ t
Саакашвили	s ɐ ɐ k a ʃ v i l i
Страсбург	s t r a z b u r k
Паси	p a s i
срещна	s r e ʃ t n ɐ
тери	t e r i
Дейвис	d e j v i s
генерален	ɡ e n e r a l e n
вгледа	v ɡ l e d ɐ
несъстоятелно	n e s ə s t o j a t e ɫ n o
оплакването	o p ɫ ɐ k v a n e t o
нямало	ɲ a m a ɫ o
познавачи	p o z n a v a t ʃ i
темата	t e m a t ɐ
разследващият	r ɐ s s l e d v a ʃ t i j ɐ t
журналист	ʒ u r n a l i s t
Христо	x r i s t o
умори	u m o r i
повтаря	p o f t a rʲ ɐ
ценен	t s e n e n
наречен	n a r e t ʃ e n
служебен	s ɫ u ʒ e b e n
архив	a r ʃ i f
МВР	m ə v ə r ə
частност	t ʃ a s t n o s t
Държавна	d ə r ʒ a v n ɐ
сложи	s ɫ o ʒ i
кръст	k r ə s t
практиката	p r ɐ k t i k a t ɐ
раздават	r a z d a v ɐ t
правилните	p r ɐ v i ɫ n i t e
бюлетинки	bʲ u l e t i n k i
комбинация	k o m b i n a t s i ɐ
кебапче	k e b a p t ʃ e
несъмнено	n e s ə m n e n o
застрахователното	z ɐ s t r ɐ x o v ɐ t e ɫ n o t o
измами	i z m a m i
първите	p ə r v i t e
привлечените	p r i v l e t ʃ e n i t e
посетители	p o s e t i t e l i
достигнали	d o s t i ɡ n a l i
Адриана	ɐ d r i a n ɐ
Белева	b e l e v ɐ
найо	n a j o
Тицин	t i t s i n
меморандума	m e m o r a n d u m ɐ
визиран	v i z i r ɐ n
отказът	o t k a z ə t
последния	p o s l e d n i j ɐ
търг	t ə r k
включване	f k l u t ʃ v a n e
процедурата	p r o t s e d u r a t ɐ
наблюдаващ	n ɐ b l u d a v ɐ ʃ t
експерт	e k s p e r t
четиридесет-годишния	t ʃ e t i r i d e s e d ɡ o d i ʃ n i j ɐ
юбилей	j u b i l e j
списанието	s p i s ɐ n i e t o
Бетанци	b e t a n t s i
завинаги	z ɐ v i n a ɡ i
станаха	s t a n a x ɐ
работили	r ɐ b o t i l i
Паралели	p ɐ r a l e l i
избрани	i z b r a n i
красавици	k r ɐ s a v i t s i
Йоана	j o a n ɐ
духнаха	d u x n a x ɐ
свещите	s v e ʃ t i t e
привлича	p r i v l i t ʃ ɐ
студенти	s t u d e n t i
региона	r e ɡ i o n ɐ
осъществен	o s ə ʃ t e s t v e n
действително	d e j s t v i t e ɫ n o
авангарден	ɐ v a n ɡ a r d e n
технологично	t e x n o ɫ o ɡ i t ʃ n o
отношение	o t n o ʃ e n i e
терористичен	t e r o r i s t i t ʃ e n
акт	a k t
заложиха	z ɐ ɫ o ʒ i x ɐ
митингаджийската	m i t i n ɡ ɐ d ʒ i j s k a t ɐ
природа	p r i r o d ɐ
откриха	o t k r i x ɐ
месец	m e s e t s
син	s i n
концерт	k o n t s e r t
старите	s t a r i t e
шлагери	ʃ ɫ a ɡ e r i
сакралното	s ɐ k r a ɫ n o t o
стъпалата	s t ə p a ɫ a t ɐ
храм-паметника	x r a m p a m e t n i k ɐ
Свети	s v e t i
невски	n e f s k i
държавния	d ə r ʒ a v n i j ɐ
бюджет	bʲ u d ʒ e t
заделят	z a d e l ɐ t
цели	t s e l i
учители	u t ʃ i t e l i
работят	r a b o tʲ ɐ t
училища	u t ʃ i l i ʃ t ɐ
социални	s o t s i a ɫ n i
работници	r ɐ b o t n i t s i
помагат	p o m a ɡ ɐ t
квартали	k v a r t a l i
компактно	k o m p a k t n o
население	n ɐ s e l e n i e
застрахователя	z ɐ s t r ɐ x o v a t e l ɐ
печено	p e t ʃ e n o
пиле	p i l e
думата	d u m a t ɐ
артист	a r t i s t
произход	p r o i s x o t
речници	r e t ʃ n i t s i
присъства	p r i s ə s t v ɐ
значения	z n ɐ t ʃ e n i j ɐ
основната	o s n o v n a t ɐ
придърпа	p r i d ə r p ɐ
обратно	o b r a t n o
режими	r e ʒ i m i
притиснати	p r i t i s n a t i
едновременно	e d n o v r e m e n n o
радикалните	r ɐ d i k a ɫ n i t e
религиозни	r e l i ɡ i o z n i
екстремисти	e k s t r e m i s t i
натиска	n a t i s k ɐ
Запада	z a p a d ɐ
демократични	d e m o k r a t i t ʃ n i
редуцирания	r e d u t s i r a n i j ɐ
състав	s ə s t a f
междуведомствения	m e ʒ d u v e d o m s t v e n i j ɐ
Алианса	ɐ l i a n s ɐ
Държавната	d ə r ʒ a v n a t ɐ
Цвета	t s v e t ɐ
Маркова	m a r k o v ɐ
силовият	s i ɫ o v i j ɐ t
най-старата	n a j s t a r a t ɐ
медия	m e d i j ɐ
шестнадесети	ʃ e s t n ɐ d e s e t i
осемстотин	o s e m s t o t i n
навърши	n a v ə r ʃ i
родните	r o d n i t e
политици	p o l i t i t s i
увряла	u v rʲ a ɫ ɐ
компроматни	k o m p r o m a t n i
ефектът	e f e k t ə t
обратен	o b r a t e n
изложителки	i z ɫ o ʒ i t e ɫ k i
Вила	v i ɫ ɐ
Стрезов	s t r e z o f
Калина	k a l i n ɐ
Карина	k a r i n ɐ
травел	t r a v e ɫ
британският	b r i t a n s k i j ɐ t
туроператор	t u r o p e r a t o r
дясно	dʲ a s n o
взаимоотношения	v z ɐ i m o o t n o ʃ e n i j ɐ
целокупно	t s e ɫ o k u p n o
гласуваме	ɡ ɫ ɐ s u v a m e
изписани	i s p i s a n i
състезателки	s ə s t e z a t e ɫ k i
известен	i z v e s t e n
автентичен	ɐ f t e n t i t ʃ e n
наследник	n a s l e d n i k
комунистическа	k o m u n i s t i t ʃ e s k ɐ
сблъска	z b ɫ ə s k ɐ
смелостта	s m e ɫ o s t̪ ɐ
тъжно	t ə ʒ n o
констатира	k o n s t a t i r ɐ
Гражданска	ɡ r a ʒ d a n s k ɐ
защита	z a ʃ t i t ɐ
началници	n ɐ t ʃ a ɫ n i t s i
разузнавателни	r ɐ z u z n ɐ v a t e ɫ n i
контраразузнавателни	k o n t r ɐ r ɐ z u z n ɐ v a t e ɫ n i
поясни	p o j a s n i
Панайотов	p ɐ n a j o t o f
чака	t ʃ a k ɐ
конкуренцията	k o n k u r e n t s i j a t ɐ
Великото	v e l i k o t o
Чехия	t ʃ e ʃ i j ɐ
решила	r e ʃ i ɫ ɐ
ликвидирането	l i k v i d i r a n e t o
злоупотребите	z ɫ o u p o t r e b i t e
болничните	b o ɫ n i t ʃ n i t e
служителите	s ɫ u ʒ i t e l i t e
застрахова	z ɐ s t r a x o v ɐ
клиент	k l i e n t
застрахователно	z ɐ s t r ɐ x o v a t e ɫ n o
вкара	f k a r ɐ
фалит	f a l i t
положението	p o ɫ o ʒ e n i e t o
ромите	r o m i t e
жизненоважен	ʒ i z n e n o v a ʒ e n
основите	o s n o v i t e
Воислав	v o i s ɫ ɐ f
Кощуница	k o ʃ t u n i t s ɐ
обясняваме	o bʲ ɐ s ɲ a v a m e
шоу	ʃ o u
прясно	p rʲ a s n o
породилото	p o r o d i ɫ o t o
приятелство	p r i j a t e ɫ s t v o
фолкзвездата	f o ɫ ɡ z v e z d a t ɐ
Азис	a z i s
рапъра	r a p ə r ɐ
Устата	u s t a t ɐ
съветският	s ə v e t s k i j ɐ t
разбраха	r a z b r a x ɐ
потиснат	p o t i s n ɐ t
арсенали	ɐ r s e n a l i
разрешиха	r ɐ z r e ʃ i x ɐ
ядрено	j a d r e n o
оръжие	o r ə ʒ i e
кулинарното	k u l i n a r n o t o
произведение	p r o i z v e d e n i e
представлява	p r e t s t a v l a v ɐ
стълба	s t ə ɫ b ɐ
всяко	f ʃ a k o
стъпало	s t ə p a ɫ o
следва	s l e d v ɐ
търсят	t ə r ʃ ɐ t
свежия	s v e ʒ i j ɐ
битка	b i t k ɐ
доверието	d o v e r i e t o
избирателя	i z b i r a t e l ɐ
ролите	r o l i t e
станали	s t a n a l i
ДЗИ	d̪z̪ i
транс	t r a n s
продава	p r o d a v ɐ
стикерите	s t i k e r i t e
офисите	o f i s i t e
финансовата	f i n ɐ n s o v a t ɐ
отпусне	o t p u s n e
установява	u s t ɐ n o vʲ a v ɐ
дебелото	d e b e ɫ o t o
черво	t ʃ e r v o
опериран	o p e r i r ɐ n
Украйна	u k r a j n ɐ
намерението	n ɐ m e r e n i e t o
съдейства	s ə d e j s t v ɐ
по-активно	p o a k t i v n o
навлизане	n ɐ v l i z a n e
конфликтните	k o n f l i k t n i t e
европарламентът	e v r o p ɐ r ɫ a m e n t ə t
тринадесети	t r i n ɐ d e s e t i
съгласието	s ə ɡ ɫ ɐ s i e t o
подписване	p o t p i s v a n e
присъединяване	p r i s ə e d i ɲ a v a n e
съюза	s ə j u z ɐ
ултимативният	u ɫ t i m ɐ t i v n i j ɐ t
грузинския	ɡ r u z i n s k i j ɐ
навечерието	n ɐ v e t ʃ e r i e t o
тържествата	t ə r ʒ e s t v a t ɐ
най-малкото	n a j m a ɫ k o t o
неуместен	n e u m e s t e n
предполагаемо	p r e t p o ɫ ɐ ɡ a e m o
хареса	x a r e s ɐ
някого	ɲ a k o ɡ o
Гейдар	ɡ e j d a r
Алиев	a l i e f
съветското	s ə v e t s k o t o
политбюро	p o l i d bʲ u r o
показваше	p o k a z v a ʃ e
завидни	z a v i d n i
умения	u m e n i j ɐ
дипломатическия	d i p ɫ o m ɐ t i t ʃ e s k i j ɐ
слалом	s ɫ a ɫ o m
действащата	d e j s t v a ʃ t a t ɐ
Методика	m e t o d i k ɐ
офертите	o f e r t i t e
изостря	i z o s t rʲ ɐ
подценят	p o t t s e ɲ ɐ t
банкови	b a n k o v i
ге-осем	ɡ e o s e m
продължи	p r o d ə ɫ ʒ i
неофициален	n e o f i t s i a l e n
клуб	k ɫ u p
превръща	p r e v r ə ʃ t ɐ
Жозе	ʒ o z e
Барозу	b a r o z u
вървят	v ə r vʲ ɐ t
еднаква	e d n a k v ɐ
решимост	r e ʃ i m o s t
посочи	p o s o t ʃ i
Духовникът	d u x o v n i k ə t
грък	ɡ r ə k
обвинен	o b v i n e n
основата	o s n o v a t ɐ
тайна	t a j n ɐ
взривоопасна	v z r i v o o p a s n ɐ
църковни	t s ə r k o v n i
фармацевтите	f ɐ r m ɐ t s e f t i t e
отстъпка	o t s t ə p k ɐ
размер	r a z m e r
реимбурсира	r e i m b u r s i r ɐ
цялата	tsʲ a ɫ a t ɐ
медикаментите	m e d i k ɐ m e n t i t e
професор	p r o f e s o r
Евгений	e v ɡ e n i j
